Province_State,Admin2,Date,Value
Illinois,Will,2020-09-24,13720
Illinois,Will,2020-09-25,13803
Illinois,Will,2020-09-26,13917
Illinois,Will,2020-09-27,13984
Illinois,Will,2020-09-28,14045
Illinois,Will,2020-09-29,14133
Illinois,Will,2020-09-30,14239
Illinois,Will,2020-10-01,14331
Illinois,Will,2020-10-02,14419
Illinois,Will,2020-10-03,14528
Illinois,Will,2020-10-04,14589
Illinois,Will,2020-10-05,14702
Illinois,Will,2020-10-06,14804
Illinois,Will,2020-10-07,14937
Illinois,Will,2020-10-08,15084
Illinois,Will,2020-10-09,15202
Illinois,Will,2020-10-10,15394
Illinois,Will,2020-10-11,15508
Illinois,Will,2020-10-12,15644
Illinois,Will,2020-10-13,15766
Illinois,Will,2020-10-14,15888
Illinois,Will,2020-10-15,16074
Illinois,Will,2020-10-16,16321
Illinois,Will,2020-10-17,16481
Illinois,Will,2020-10-18,16748
Illinois,Will,2020-10-19,16898
Illinois,Will,2020-10-20,17106
Illinois,Will,2020-10-21,17354
Illinois,Will,2020-10-22,17616
Illinois,Will,2020-10-23,17862
Illinois,Will,2020-10-24,18179
Illinois,Will,2020-10-25,18356
Illinois,Will,2020-10-26,18621
Illinois,Will,2020-10-27,18807
Illinois,Will,2020-10-28,19141
Illinois,Will,2020-10-29,19516
Illinois,Will,2020-10-30,19946
Illinois,Will,2020-10-31,20358
Illinois,Will,2020-11-01,20657
Illinois,Will,2020-11-02,21043
Illinois,Will,2020-11-03,21419
Illinois,Will,2020-11-04,21795
Illinois,Will,2020-11-05,22323
Illinois,Will,2020-11-06,23279
Illinois,Will,2020-11-07,24010
Illinois,Will,2020-11-08,24580
Illinois,Will,2020-11-09,25132
Illinois,Will,2020-11-10,25892
Illinois,Will,2020-11-11,26627
Illinois,Will,2020-11-12,27412
Illinois,Will,2020-11-13,28304
Illinois,Will,2020-11-14,29092
Illinois,Will,2020-11-15,29725
Illinois,Will,2020-11-16,30384
Illinois,Will,2020-11-17,31289
Illinois,Will,2020-11-18,31913
Illinois,Will,2020-11-19,32818
Illinois,Will,2020-11-20,33564
Illinois,Will,2020-11-21,34338
Illinois,Will,2020-11-22,34965
Illinois,Will,2020-11-23,35444
Illinois,Will,2020-11-24,36082
Illinois,Will,2020-11-25,36762
Illinois,Will,2020-11-26,37368
Illinois,Will,2020-11-27,37864
Illinois,Will,2020-11-28,38291
Illinois,Will,2020-11-29,38684
Illinois,Will,2020-11-30,39020
Illinois,Will,2020-12-01,40092
Illinois,Will,2020-12-02,40611
Illinois,Will,2020-12-03,41204
Illinois,Will,2020-12-04,41826
Illinois,Will,2020-12-05,42380
Illinois,Will,2020-12-06,42798
Illinois,Will,2020-12-07,43192
Illinois,Will,2020-12-08,43578
Illinois,Will,2020-12-09,44069
Illinois,Will,2020-12-10,44883
Illinois,Will,2020-12-11,45363
Illinois,Will,2020-12-12,45881
Illinois,Will,2020-12-13,46265
Illinois,Will,2020-12-14,46584
Illinois,Will,2020-12-15,46879
Illinois,Will,2020-12-16,47257
Illinois,Will,2020-12-17,47899
Illinois,Will,2020-12-18,48272
Illinois,Will,2020-12-19,48657
Illinois,Will,2020-12-20,49025
Illinois,Will,2020-12-21,49253
Illinois,Will,2020-12-22,49522
Illinois,Will,2020-12-23,49861
Illinois,Will,2020-12-24,50238
Illinois,Will,2020-12-25,50528
Illinois,Will,2020-12-26,50712
Illinois,Will,2020-12-27,50920
Illinois,Will,2020-12-28,51137
Illinois,Will,2020-12-29,51466
Illinois,Will,2020-12-30,51794
Illinois,Will,2020-12-31,52293
Illinois,Will,2021-01-01,52293
Illinois,Will,2021-01-02,52899
Illinois,Will,2021-01-03,53165
Illinois,Will,2021-01-04,53443
Illinois,Will,2021-01-05,53778
Illinois,Will,2021-01-06,54211
Illinois,Will,2021-01-07,54678
Illinois,Will,2021-01-08,55181
Illinois,Will,2021-01-09,55611
Illinois,Will,2021-01-10,55872
Illinois,Will,2021-01-11,56145
Illinois,Will,2021-01-12,56435
Illinois,Will,2021-01-13,56766
Illinois,Will,2021-01-14,57104
Illinois,Will,2021-01-15,57429
Illinois,Will,2021-01-16,57707
Illinois,Will,2021-01-17,57945
Illinois,Will,2021-01-18,58209
Illinois,Will,2021-01-19,58408
Illinois,Will,2021-01-20,58681
Illinois,Will,2021-01-21,58974
Illinois,Will,2021-01-22,59269
Illinois,Will,2021-01-23,59559
Illinois,Will,2021-01-24,59768
Illinois,Will,2021-01-25,59914
Illinois,Will,2021-01-26,60159
Illinois,Will,2021-01-27,60378
Illinois,Will,2021-01-28,60614
Illinois,Will,2021-01-29,60910
Illinois,Will,2021-01-30,61134
Illinois,Will,2021-01-31,61289
Illinois,Will,2021-02-01,61416
Illinois,Will,2021-02-02,61556
Illinois,Will,2021-02-03,61737
Illinois,Will,2021-02-04,61943
Illinois,Will,2021-02-05,62143
Illinois,Will,2021-02-06,62303
Illinois,Will,2021-02-07,62435
Illinois,Will,2021-02-08,62566
Illinois,Will,2021-02-09,62688
Illinois,Will,2021-02-10,62814
Illinois,Will,2021-02-11,63022
Illinois,Will,2021-02-12,63176
Illinois,Will,2021-02-13,63270
Illinois,Will,2021-02-14,63393
Illinois,Will,2021-02-15,63481
Illinois,Will,2021-02-16,63558
Illinois,Will,2021-02-17,63707
Illinois,Will,2021-02-18,63856
Illinois,Will,2021-02-19,63994
Illinois,Will,2021-02-20,64131
Illinois,Will,2021-02-21,64251
